CODICE,AUTORE,TITOLO,CASA EDITRICE,GENERE/COLLOCAZIONE,LINGUA,ANNO EDIZIONE,;
80,giuliana boldrini,storie di ragazzi come noi,mondadori,bambini e ragazzi,italiano,1990,;
81,gary devon,io ti voglio,euroclub,romanzo,italiano,1991,;
82,catherine coulter,un castello in scozia,euroclub,romanzo,italiano,1995,;
83,michela murgia,ave mary,einaudi,saggi e inchieste,italiano,2011,;
84,michael jecks,torneo di sangue,hobby and work,giallo/thriller,italiano,2003,;
85,julie garwood,la dote di sara,euroclub,romanzo,italiano,1993,;
86,giovanni falcone,cose di casa nostra,rizzoli,saggi e inchieste,italiano,1991,;
87,corrado augias,i segreti di londra,mondadori,saggio storico,italiano,2003,;
88,j.a.g. roberts,storia dell'antica cina,newton compton,saggio storico,italiano,2006,;
89,nancy cato,cosi' scorre il fiume,euroclub,romanzo,italiano,1985,;
90,erich segal,un solo grande amore,euroclub,romanzo,italiano,1999,;
91,james patterson,domeniche da tiffany,mondolibri,romanzo,italiano,2008,;
92,stephen king,desperation,euroclub,romanzo,italiano,1997,;
93,clare dowling,il mio favoloso divorzio,newton compton,romanzo,italiano,2007,;
94,p.d. james,scuola per infermiere,euroclub,giallo/thriller,italiano,1988,;
95,fiona neill,mamme sull'orlo di una crisi di nervi,newton compton,romanzo,italiano,2008,;
96,francesco cagno,se mi lasci sto male,newton compton,romanzo,italiano,2007,;
97,guareschi,don camillo,rizzoli,romanzo,italiano,1993,;
98,p.c. de laclos,le relazioni pericolose,ed. liberamente,romanzo,italiano,2009,;
99,edgar wallace,i tre giusti,mondadori,giallo/thriller,italiano,2004,;
100,m.m. kaye,morte a berlino,mondadori,giallo/thriller,italiano,2003,;
101,leo bruce,ricetta per un delitto,mondadori,giallo/thriller,italiano,2004,;
102,jennifer blake,bella e selvaggia,euroclub,romanzo,italiano,1995,;
103,maria venturi,il cielo non cade mai,euroclub,romanzo,italiano,1991,;
104,cathleen schine,la lettera d'amore,euroclub,romanzo,italiano,1997,;
105,francoise sagan,il guinzaglio,euroclub,romanzo,italiano,1991,;
106,laurent graff,giorni felici,salani,romanzo,italiano,2006,;
107,margaret mazzantini,manola,mondadori,romanzo,italiano,1999,;
108,sergio bambaren,vela bianca,sperling,romanzo,italiano,2000,;
109,sergio bambaren,la rosa di gerico,sperling,romanzo,italiano,2005,;
110,melissa hill,un regalo da tiffany,newton compton,romanzo,italiano,2012,;
111,fabio volo,il tempo che vorrei,mondolibri,romanzo,italiano,2009,;
112,francoise chandernagor,la prima sposa,mondolibri,romanzo,italiano,2000,;
113,sara paretsky,il dottore dov'era,euroclub,giallo/thriller,italiano,1992,;
114,edgar wallace,l'inafferrabile,newton compton,giallo/thriller,italiano,1995,;
115,agatha christie,il natale di poirot,mondadori,giallo/thriller,italiano,1989,;
116,agatha christie,dieci piccoli indiani,mondadori,giallo/thriller,italiano,1992,;
117,adrian conan doyle,le imprese di sherlock holmes,mondadori,bambini e ragazzi,italiano,1992,;
118,arthur conan doyle,uno studio in rosso,rizzoli,classico,italiano,1979,;
119,arthur conan doyle,il mastino dei baskerville,mondadori,giallo/thriller,italiano,1994,;
120,arthur conan doyle,uno studio in rosso,mondadori,classico,italiano,1992,;
121,carlo laurenzi,quell'antico amore,rusconi,romanzo,italiano,1992,;
122,vivian french,principessa elisa,piemme,bambini e ragazzi,italiano,2009,;
123,autori vari,scooby-doo un mostro al museo,piemme,bambini e ragazzi,italiano,2010,;
124,walt disney,toy story,disney,umoristico e fumetti,italiano,2007,;
125,andrea pinketts,il conto dell'ultima cena,mondadori,giallo/thriller,italiano,2010,;
126,alberto bevilacqua,il curioso delle donne,mondadori,romanzo,italiano,1993,;
127,ken follett,un letto di leoni,mondadori,giallo/thriller,italiano,2010,;
128,giovanni de rinaldis,ieri e' una parola lunga,i libri di icaro,poesie/aforismi/albi illustrati,italiano,2008,;
129,giorgio bassani,il giardino dei finzi contini,famiglia cristiana,classico,italiano,1997,;
130,italo calvino,il visconte dimezzato,mondadori,classico,italiano,1993,;
131,italo calvino,il barone rampante,mondadori,classico,italiano,1993,;
132,italo calvino,le cosmocomiche,mondadori,classico,italiano,1993,;
133,italo calvino,il cavaliere inesistente,mondadori,classico,italiano,1993,;
134,g. guareschi,il decimo clandestino,rizzoli,romanzo,italiano,1987,;
135,giovanni verga,i malavoglia,mondadori,classico,italiano,1992,;
