CODICE,AUTORE,TITOLO,CASA EDITRICE,GENERE/COLLOCAZIONE,LINGUA,ANNO EDIZIONE,;
1257,robert graves,i miti greci,longanesi,antologia/critica letteraria,italiano,2011,;
1258,indro montanelli e roberto gervaso,l'italia dei comuni,bur,storia e geografia,italiano,2001,;
1259,renzo de felice,storie degli ebrei italiani sotto il fascismo,einaudi,saggio storico,italiano,1993,;
1260,indro montanelli e roberto gervaso,l'italia della controriforma,bur,storia e geografia,italiano,2001,;
1261,history channel,le grandi battaglie della storia,mondadori,saggio storico,italiano,2013,;
1262,indro montanelli e roberto gervaso,l'italia dei secoli d'oro,bur,storia e geografia,italiano,2001, non disponibile,;
1263,alex kershaw,il liberatore,piemme,romanzo storico,italiano,2013,;
1264,indro montanelli,l'italia del risorgimento,rizzoli,saggio storico,italiano,2001,;
1265,christian wolmar,sangue ferro e oro,edt srl,saggio storico,italiano,2011,;
1266,indro montanelli e mario cervi,l'italia della guerra civile,bur,storia e geografia,italiano,2001,;
1267,giorgio bocca,storia dell'italia partigiana settembre 1943-maggio 1945,feltrinelli,storia e geografia,italiano,2012,;
1268,indro montanelli e mario cervi,l'italia della repubblica,bur,storia e geografia,italiano,2001,;
1269,marina montesano,marco polo,salerno editore,biografia,italiano,2014,;
1270,indro montanelli e mario cervi,l'italia del miracolo,bur,storia e geografia,italiano,2001, non disponibile,;
1271,alan levy,il cacciatore di nazisti vita di simon wiesenthal,mondadori,biografia,italiano,2010,;
1272,indro montanelli e mario cervi,l'italia dell'asse,bur,storia e geografia,italiano,2000,;
1273,ian mcallister,i fantasmi della foresta - la mia avventura con l'ultimo branco di lupi selvaggi,orme,romanzo,italiano,2011,;
1274,indro montanelli e mario cervi,l'italia littoria,bur,storia e geografia,italiano,2010,;
1275,isabel wilkerson,al calore di soli lontani - il racconto epico della grande migrazione afro-americana,il saggiatore,saggio,italiano,2013,;
1276,indro montanelli e mario cervi,l'italia dei due giovanni,bur,storia e geografia,italiano,2001, non disponibile,;
1277,paddy ashdown,l'operazione militare segreta che ha cambiato la storia,newton compton,saggio storico,italiano,2013,;
1278,indro montanelli e roberto gervaso,l'italia del settecento,bur,storia e geografia,italiano,1999,;
1279,massimo livi bacci,amazzonia - l'impero dell'acqua 1500-1800,il mulino,saggio storico,italiano,2012,;
1280,indro montanelli e roberto gervaso,l'italia del seicento,bur,storia e geografia,italiano,2001,;
1281,indro montanelli,l'italia giacobina e carbonara,bur,storia e geografia,italiano,2000,;
1282,primo levi,la tregua,einaudi,classico,italiano,1997,;
1283,francesco lala,il formicone di via palmieri-societa' e cultura nella lecce del 900,sigillo,belle arti/cultura locale,italiano,2013,;
1284,d.h. lawrence,figli e amanti,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1285,giovanni boccaccio,decamerone,frabbri - collana i grandi della letteratura,classico,italiano,1968,;
1286,indro montanelli e mario cervi,l'italia degli anni di piombo,bur,storia e geografia,italiano,2012,;
1287,alphonse daudet,le prodigiose avventure di tartarino di tarascona - tartarino sulle alpi,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1288,indro montanelli e mario cervi,l'italia della disfatta,bur,storia e geografia,italiano,2011,;
1289,anton cechov,drammi,frabbri - collana i grandi della letteratura,classico,italiano,1968,;
1290,indro montanelli e mario cervi,l'italia degli anni di fango,bur,storia e geografia,italiano,2012,;
1291,charles baudelaire,i fiori del male - poesie complete,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1292,giuseppe giusti,poesie e prose,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1293,sergio valzania,u-boot storie di uomini e di sommergibili nella seconda guerra mondiale,mondadori,storia e geografia,italiano,2013,;
1294,angelo del boca,gli italiani in libia- dal fascismo a gheddafi,mondadori,saggio storico,italiano,2011,;
1295,wolfang goethe,i dolori del giovane werther,frabbri - collana i grandi della letteratura,classico,italiano,1968,;
1296,dee brown,seppellite il mio cuore a wounded knee,mondadori,saggio storico,italiano,2012,;
1297,jerome klapka jerome,tre uomini in barca (per non parlare del cane),frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1298,francosacchetti,novelle,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1299,giorgio giorgerini,la guerra italiana sul mare,mondadori,storia e geografia,italiano,2009,;
1300,ernst teodor amadeus hoffmann,racconti,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1301,giordano bruno guerri,il sangue del sud,mondadori,storia e geografia,italiano,2012,;
1302,angelo del boca,gli italiani in africa orientale - volume 1 dall'unita' alla marcia su roma,mondadori,saggio storico,italiano,2012,;
1303,edmond e jules de gouncourt,germinie lacerteaux,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1304,guy de maupassant,bel ami,frabbri - collana i grandi della letteratura,classico,italiano,1968,;
1305,michela fontana,matteo ricci un gesuita alla corte dei ming,mondadori,biografia,italiano,2011,;
1306,philippe jacquin,storia degli indiani d'america,mondadori,storia e geografia,italiano,2010,;
1307,william shakespeare,drammi,frabbri - collana i grandi della letteratura,classico,italiano,1968,;
1308,angelo del boca,gli italiani in africa orientale - volume 2 - la conquista dell'impero,mondadori,saggio storico,italiano,2012,;
1309,joseph von eicendorff,racconti e poesia,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1310,angelo del boca,gli italiani in libia- tripoli bel suol d'amore 1860-1922,mondadori,saggio storico,italiano,2011,;
1311,oscar wilde,il ritratto di dorian gray,frabbri - collana i grandi della letteratura,classico,italiano,1968,;
1312,juan valera,pepita jimenez,frabbri - collana i grandi della letteratura,classico,italiano,1970,non disponbile,;
1313,michael b. oren,la guerra dei sei giorni,mondadori,saggio storico,italiano,2010,;
1314,d.h. lawrence,figli e amanti 2,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1315,gerhart hauptmann,florian geyer e pippa balla!,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1316,percy bysshe shelley,poesia,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1317,madame de la fayette,la principessa di cleves - la contessa di tenda,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1318,vittorio alfieri,filippo - saul sonetti,frabbri - collana i grandi della letteratura,classico,italiano,1970,;
1319,vittorio alfieri,vita rime e satire,utet,classico,italiano,1949,;
1320,carlo goldoni,commedie scelte vol. 1,utet,classico,italiano,1949,;
1321,carlo goldoni,commedie scelte - vol 2,utet,classico,italiano,1949,;
1322,niccolo' tommaseo,poesie e prose vol 1,utet,classico,italiano,1949,;
1323,niccolo' tommaseo,poesie e prose - vol 2,utet,classico,italiano,1949,;
1324,iacopo sannazzaro,opere,utet,classico,italiano,1949,;
1325,pulci,il morgante 1,utet,classico,italiano,1949,;
1326,pulci,il morgante 2,utet,classico,italiano,1949,;
1327,autori vari,novelle del 500 vol 1,utet,classico,italiano,1949,;
1328,autori vari,novelle del 500 vol 2,utet,classico,italiano,1949,;
1329,silvio pellico,opere scelte,utet,classico,italiano,1949,;
1330,autori vari,giornalismo del '700,utet,classico,italiano,1949,;
1331,porta e belli,poesie scelte,utet,classico,italiano,1949,;
1332,giuseppe parini,poesie minori e prose vol 2,utet,classico,italiano,1949,;
1333,autori vari,rimatori del 200 e del 300,utet,classico,italiano,1949,;
1334,autori vari,critici dell'eta' romantica,utet,classico,italiano,1949,;
1335,autori vari,volgarizzamenti del '200 e del '300,utet,classico,italiano,1949,;
1336,giovan battista marino e i marinisti,opere scelte,utet,classico,italiano,1949,;
1337,giuseppe giusti,opere,utet,classico,italiano,1949,;
1338,autori vari,drammi per musica vol. 2,utet,classico,italiano,1949,;
1339,autori vari,drammi per musica vol. 1,utet,classico,italiano,1949,;
1340,alessandro manzoni,i promessi sposi vo.l. 2,utet,classico,italiano,1949,;
1341,giovanni boccaccio,decamerone vol.1,utet,classico,italiano,1949,;
1342,giovanni boccaccio,decamerone vol.2,utet,classico,italiano,1949,;
1343,francesco petrarca,rime e trionfi,utet,classico,italiano,1949,;
1344,alessandro manzoni,liriche e tragedie,utet,classico,italiano,1949,;
1345,torquato tasso,opere,utet,classico,italiano,1949,;
1346,autori vari,lirici del '500,utet,classico,italiano,1949,;
1347,autori vari,lettere del '500,utet,classico,italiano,1949,;
1348,vincenzo gioberti,scritti scelti,utet,classico,italiano,1949,;
1349,autori vari,la poesia lirica del '200,utet,classico,italiano,1949,;
1350,pietro bembo,prose e rime,utet,classico,italiano,1949,;
1351,autori vari,manifesti romantici,utet,classico,italiano,1949,;
1352,gian battista vico,la scienza nuova opere scelte,utet,classico,italiano,1949,;
1353,autori vari,rimatori del 200 e del 300 vol.1,utet,classico,italiano,1949,;
1354,giovan battista marino e i marinisti,opere scelte - vol. 1,utet,classico,italiano,1949,;
1355,autori vari,discussioni linguistiche del settecento,utet,classico,italiano,1949,;
1356,autori vari,teatro del secondo ottocento,utet,classico,italiano,1949,;
1357,autori vari,opere scelte,utet,classico,italiano,1949,;
1358,autori vari,opere scelte vol 2,utet,classico,italiano,1949,;
1359,lorenzo de medici,scritti scelti,utet,classico,italiano,1949,;
1360,autori vari,poeti minori dell''800,utet,classico,italiano,1949,;
1361,giacomo leopardi,prose,utet,classico,italiano,1949,;
1362,autori vari,modernissimo dizionario illustrato,deagostini,dizionario,italiano,1964,;
1363,autori vari,dizionario greco/italiano,editrice san lazzaro - dante aligheri,dizionario,italiano,1958,;
1364,autori vari,vocabolario francese italiano/ italiano francese,editrice dante alighieri,dizionario,italiano,1931,;
1365,rick riordan,percy jackson e gli dei dell'olimpo - lo scontro finale,mondadori,bambini e ragazzi,italiano,2012,;
1366,rick riordan,percy jackson e gli dei dell'olimpo - la maledizione del titano,mondadori,bambini e ragazzi,italiano,2012,;
1367,rick riordan,percy jackson e gli dei dell'olimpo - il ladro di fulmini,mondadori,bambini e ragazzi,italiano,2010,;
1368,rick riordan,percy jackson e gli dei dell'olimpo - la battaglia del labirinto,mondadori,bambini e ragazzi,italiano,2011,;
1369,rick riordan,percy jackson e gli dei dell'olimpo - il re dei mostri,mondadori,bambini e ragazzi,italiano,2010,;
1370,gianni rodari,le storie della fantasia,einaudi,bambini e ragazzi,italiano,2010,;
1371,paolo lanzotti,le parole magiche di kengy il pensieroso,piemme,narrativa,italiano,1998,;
1372,chris eboch,il segreto della piramide maya,piemme,bambini e ragazzi,italiano,2004,;
1373,anna jurgen,pelle rossa,giunti,narrativa,italiano,2012,;
1374,chris archer,pirati,piemme,bambini e ragazzi,italiano,2007,;
1375,maria grazia bucceri,queste cose non si fanno,giunti,bambini e ragazzi,italiano,1973,;
1376,gino-michele matteo molinari,anche le formiche nel loro piccolo s incazzano,einaudi,umoristico e fumetti,italiano,1991,;
1377,giovanni mosca,storia del mondo in 200 vignette,rizzoli,umoristico e fumetti,italiano,1978,;
1378,autori vari,topo bi - 1000 barzellette,giunti,umoristico e fumetti,italiano,2010,;
1379,myriam vallet vincent poens,sacre'e vache,edition hemma,letteratura in lingua straniera,francese,1991,;
1380,christian greiner,les fillese des etoiles l'arbre -monde,natan poche,letteratura in lingua straniera,francese,1998,;
1381,terry deary,l'anello magico e la fabbria degli scherzi,piemme,bambini e ragazzi,italiano,1997,;
1382,eveline hasler,un sacco di nulla,piemme,bambini e ragazzi,italiano,1993,;
1383,jack london,zanna bianca,garzanti,bambini e ragazzi,italiano,1987,;
1384,dennis covington,lucius lucertola,piemme,narrativa,italiano,1997,;
1385,matthew hodgart,la satira,il saggiatore,arte e cultura del territorio,italiano,1998,;
1386,sveva casati modigliani,qualcosa di buono,sperling,romanzo,italiano,2007,;
1387,alexandre dumas,la signora delle camelie,newton compton,classico,italiano,1994,;
1388,danielle steel,silenzio e onore,club degli editori,romanzo,italiano,1996,;
1389,walter scott,i misteri del castello,loescher,classico,italiano,1982,;
1390,ignazio silone,il segreto di luca,mondadori,classico,italiano,1990,;
1391,christian jack,il romanzo di ramses- la battaglia di qadesh,mondadori,romanzo,italiano,1997,;
1392,giovanni guareschi,don camillo mondo piccolo,rizzoli,bambini e ragazzi,italiano,1970,;
1393,pete berresford ellis,il segreto dei druidi,piemme,saggio storico,italiano,1997,;
1394,gino giovanni chirizzi,san fili a monteroni,congedo,arte e cultura del territorio,italiano,1993,;
1395,hodgson-howard-lovercraft-quinn-wellman,gli indagatori dell incubo,newton compton,giallo/thriller,italiano,1993,;
1396,otello conoci,parole in ascolto,orantes,poesie/aforismi/albi illustrati,italiano,1990,;
1397,papa paolo vi,parole sulla fede,rizzoli,filosofia e religioni,italiano,1977,;
1398,robert louis stevenson,l'isola delle voci e la spiaggia di falesa',newton compton,classico,italiano,1993,;
1399,hermann melville,billy bud il marinaio,newton compton,classico,italiano,1993,;
1400,anonimo (a cura di armando dominicis),le avventure di sindibad il marinaio,newton compton,classico,italiano,1992,;
1401,maria venturi,da quando mi lasciasti,rizzoli,romanzo,italiano,2001,;
1402,charles dickens,il grillo del focolare,newton compton,classico,italiano,1993,;
1403,joseph conrad,cuore di tenebra,newton compton,classico,italiano,1993,;
1404,ippocrate,aforismi e giuramento,newton compton,classico,italiano,1994,;
1405,hodgson,l'orrore del mare,newton compton,classico,italiano,1993,;
1406,kim edwards,figlia del silenzio,mondolibri,romanzo,italiano,2005,;
1407,dominique lapierre,mille soli,club degli editori,romanzo,italiano,1997,;
1408,max gallo,napoleone la voce del destino,il giornale biblioteca storica,biografia,italiano,2000,;
1409,autori vari,la storia - 1 dalla preistoria all'antico egitto,la biblioteca di repubblica,storia e geografia,italiano,2004,;
1410,frances burnett,il piccolo lord,atlas,classici per ragazzi,italiano,2004,;
1411,francisco marina,barzellette,fratelli melita editore,umoristico e fumetti,italiano,1990,;
1412,autori vari,atlante dei luoghi di sogno,marshall editions,storia e geografia,italiano,1995,;
1413,franco foresta martin,il pianeta terra,mondadori,bambini e ragazzi,italiano,1985,;
1414,giuseppe rutilli,rapagnano storia e arte e tradizioni,andrea livi editore,arte e cultura del territorio,italiano,2006,;
1415,kathy fillion ritchie,voglia di creare stencil,deagostini,manuale,italiano,1999,;
1416,enzo vergori,gli uomini bambini e ragazzi,edizioni panico,poesie/aforismi/albi illustrati,italiano,2006,;
1417,ranuccio bianchi bandinelli,roma l'arte nel centro del potere dalle origini al ii secolo d.c.,rizzoli,belle arti/cultura locale,italiano,2005,;
1418,david macaulay,come funzionano le cose,euroclub,manuale,italiano,1991,;
1419,jhon le carre',chiamata per il morto,bur,giallo/thriller,italiano,1989,;
1420,richard bach,il gabbiano jonathan livingston,bur,romanzo,italiano,1985,;
1421,sveva casati modigliani,donna d'onore,sperling paparback,romanzo,italiano,1990,;
1422,agatha christie,macabro quiz,mondadori,giallo/thriller,italiano,1989,;
1423,marie cardinal,ascolta il mare,bompiani,romanzo,italiano,1989,;
1424,john grisham,il rapporto pelican,mondadori,giallo/thriller,italiano,1999,;
1425,helen van slyke,una donna necessaria,mondadori,romanzo,italiano,1987,;
1426,ken follett,il codice rebecca,mondadori,giallo/thriller,italiano,1987,;
1427,virginia woolf,notte e giorno,einaudi,classico,italiano,1987,;
1428,nicola magrone e giulia pavese,ti ricordi di piazza fontana?,edizioni dall'interno,saggio storico,italiano,1988,;
1429,h.b. gilmour,attrazione fatale,mondadori,romanzo,italiano,1988,;
1430,john kenneth galbraith,storia della economia,bur,saggio storico,italiano,1920,;
1431,vitaliano brancati,don giovanni in sicilia,bompiani,romanzo,italiano,1976,;
1432,john grisham,l'appello,mondadori,giallo/thriller,italiano,1994,;
1433,len deighton,gioco a berlino,superbur,giallo/thriller,italiano,1988,;
1434,luigi santucci,orfeo in paradiso,club degli editori,romanzo,italiano,1978,;
1435,robert ludlum,l'eredita' scarlatti,mondadori,giallo/thriller,italiano,1987,;
1436,ljudmila shtern,i dodici collegi,sellerio editore,classico,italiano,1987,;
1437,elena gianini belotti,amore e pregiudizio il tabu' dell'eta' nei rapporti sentimentali,mondadori,saggio,italiano,1990,;
1438,luciano de crescenzo,cosi' parlo' bella vista,mondadori,romanzo,italiano,1988,;
1439,virginia woolf,la signora dalloway - tra un atto e l'altro,mondadori,classico,italiano,1982,;
1440,saul bellow,quello col piede in bocca e altri racconti,club degli editori,romanzo,italiano,1985,;
1441,richard burgin,conversazioni con borges,palazzi,biografia/letteratura d'inchiesta,italiano,1971,;
1442,marguerite yourcenar,l'opera al nero,feltrinelli,romanzo,italiano,1984,;
1443,david ignatius,agenti d'innocenza,mondadori,giallo/thriller,italiano,1968,;
1444,paula gosling,bersaglio facile,tea due,giallo/thriller,italiano,1990,;
1445,lytton strachey,la regina vittoria,edizione clubdel libro il saggiatore,biografia/letteratura d'inchiesta,italiano,1982,;
1446,vita sackville - west,sfida,rusconi,romanzo,italiano,1982,;
1447,nicola g. de donno,mumenti e ttrumenti,editrice salentina per conto di piero manni,poesie/aforismi/albi illustrati,italiano,1986,;
1448,marta boneschi,poveri ma belli i nostri anni cinquanta,mondadori,saggio storico,italiano,1995,;
1449,william peter blatty,l'esorcista,mondadori,giallo/thriller,italiano,1974,;
1450,jack kerouac,il dottor sax,mondadori,classico,italiano,1968,;
1451,carlos ruiz zafon,il prigioniero del cielo,mondadori,romanzo,italiano,2012,;
1452,dan brown,angeli e demoni,mondadori,romanzo,italiano,2004,;
1453,klara jarunkova,il vento sull'erba nuova,salani narrativa,narrativa,italiano,1975,;
1454,eric ambler,non piu' rose,club degli editori,romanzo,italiano,1978,;
1455,rosamunde pilcher,settembre,mondadori,romanzo,italiano,1995,;
1456,emily hanlon,san pietroburgo,bur,romanzo,italiano,1989,;
1457,s.s. van dine,la canarina assassina,club degli editori,giallo/thriller,italiano,1980,;
1458,shelby foote,amore nella stagione calda,club del libro,romanzo,italiano,1981,;
1459,honore' de balzac,il giglio della valle,club degli editori,classico,italiano,1982,;
1460,pasquale festa campanile,la strega innamorata,club degli editori,romanzo,italiano,1985,;
1461,vito mancuso,la vita autentica,mondo libri,saggio,italiano,2009,;
1462,prosper me'rime'e,colomba,edizioni paoline,classici per ragazzi,italiano,1989,;
1463,coleen mccullough,l'altro nome dell'amore,edizioni club del libro,romanzo,italiano,1981,;
1464,michel de'on,un tassi' color malva,club degli editori,romanzo,italiano,1975,;
1465,alessandra coluccia,vertigine,lupo editore,romanzo,italiano,2006,;
1466,jean cristophe grannge',amnesia,mondadori,giallo/thriller,italiano,2012,;
1467,giorgio soavi,un amore a capri,club del libro,romanzo,italiano,1981,;
1468,morris west,proteo,club degli editori,romanzo,italiano,1979,;
1469,nancy manahan e rosemary curb,dentro il convento 50 monache confessano la loro sessualita',club degli editori,saggi e inchieste,italiano,1985,;
1470,vincent gaddis,il triangolo maledetto e altri misteri del mare,armenia editore,saggio,italiano,1977,;
1471,ernest hemingway,festa mobile,mondadori,classico,italiano,1969,;
1472,rocco esposito,il padrone dell'ombra - racconti del basso salento,piero manni,romanzo,italiano,2007,;
1473,franz innerhofer,bei tempi,feltrinelli,romanzo,italiano,1978,;
1474,leonardo sciascia,fatti diversi di storia letteraria e civile,sellerio editore,classico,italiano,1979,;
1475,robert ludlum,il mosaico di parsifal,super bur,romanzo,italiano,1989,;
1476,philip roth,lamento di pornoy,bompiani,romanzo,italiano,1981,;
1477,vitaliano brancati,paolo il caldo,mondadori,romanzo,italiano,1976,;
1478,woody allen,effetti collaterali,bompiani,umoristico e fumetti,italiano,1982,;
1479,woody allen,saperla lunga,bompiani,umoristico e fumetti,italiano,1982,;
1480,j. b. livingstone,i tre delitti di natale,dall'oglio,giallo/thriller,italiano,1986,;
1481,barbara chase-riboud,la virginiana,mondadori,romanzo,italiano,1977,;
1482,beniamino de giorgi,terenzio la terza eta' non esiste,laterza,arte e cultura del territorio,italiano,1974,;
1483,fred taylor (curatore),i diari di goebbels 1939-1941,sperling & kupfer,biografia,italiano,1984,;
1484,samuel pepys,il diario (1660-1669),nuovo portico bompiani,biografia,italiano,1982,;
1485,j.l. borges a. bioy casares,sei problemi per don isidro parodi,editori riuniti,giallo/thriller,italiano,1978,;
1486,stefano jesurum,essere ebrei in italia,longanesi,biografia/letteratura d'inchiesta,italiano,1987,;
1487,harold robbins,l'immortale,mondadori,romanzo,italiano,1983,;
1488,jorge luis borge,elogio dell'ombra,einaudi,classico,italiano,1971,;
1489,francesca duranti,la casa sul lago della luna,rizzoli,romanzo,italiano,1984,;
1490,cesare marchi,caro montanelli,rizzoli,biografia,italiano,1985,;
1491,bino sanminiatelli,gli irregolari,longanesi,romanzo,italiano,1982,;
1492,italo svevo,senilita',dall'oglio,classico,italiano,1987,;
1493,jorge luis borge e adolfo bioy casares,un modello per la morte,editori riuniti,giallo/thriller,italiano,1981,;
1494,jack higgings,confessionale,sperling paparback,giallo/thriller,italiano,1990,;
1495,gianna preda,fiori per io,sperling & kupfer,romanzo storico,italiano,1982,;
1496,l. tolstoj,la sonata a kreutzer,gherardo casini,classico,italiano,1965,;
1497,heinrich boll,racconti umoristici satirici,bompiani,romanzo,italiano,1964,;
1498,carl gustav jung,il problema dell'inconscio nella psicologia moderna,einaudi,scienze sociali,italiano,1973,;
1499,petros markaris,l'esattore una nuova indagine del commissario chariots,mondadori,giallo/thriller,italiano,2012,;
1500,papa ngady faye e antonella colletta,se dio vuole il venditore di libri,modu modu edizioni,romanzo,italiano,2013,;
1501,enzo bettiza,1989 la fine del novecento,mondadori,saggio,italiano,2010,;
1502,peter hoeg,il senso di smilla per la neve,mondadori,romanzo,italiano,1996,;
1503,zhang jie,anni di buio,mondolibri,romanzo,italiano,2010,;
1504,satsvarupa dasa goswami,prabhupda,edizioni bhaktvedanta,biografia,italiano,2010,;
1505,camilla lackberg,la principessa di ghiaccio,mondadori,giallo/thriller,italiano,2010,;
1506,paolo giordano,la solitudine dei numeri primi,mondadori,romanzo,italiano,2008,;
1507,giulio pecora,tiananmen morire per la liberta',mondadori,saggio storico,italiano,1989,;
1508,william stevenson,90 minuti a entebbe,sonzogno,saggio storico,italiano,1976,;
1509,salman rushdie,i figli della mezzanote,garzanti,romanzo,italiano,1984,;
1510,gaboraiau e altri,le regole del gioco,club del libro,giallo/thriller,italiano,1982,;
1511,richard durham e muhammad ali ,il piu' grande,club degli editori,biografia,italiano,1975,;
1512,olav hergel,il fuggitivo,edizioni mondolibri,giallo/thriller,italiano,2006,;
1513,valerio massimo manfredi,il mio nome e' nessuno - il giuramento,mondadori,romanzo storico,italiano,2012,;
1514,bruno vespa,l'amore e il potere da rachele a veronica un secolo di storia italiana,mondadori,saggi e inchieste,italiano,2007,;
1515,francois mauriac,the're'se desqueyroux,bernard grasset,letteratura in lingua straniera,francese,1927,;
1516,alian-fournier,le grand meaulnes,libraire ge'nerale francaise,letteratura in lingua straniera,francese,1983,;
1517,mary higgins clarks,l'ombra del tuo sorriso,sperling & kupfer,giallo/thriller,italiano,2010,;
1518,marie vieux-chauvet,amore rabbia follia,bompiani,romanzo,italiano,2007,;
1519,alan dean foster,alien,fabbri editore,fantasy/avventura/fantascienza,italiano,1994,;
1520,adam kennedy berton roueche',il principio del domino - un sosia per morire,club degli editori,giallo/thriller,italiano,1979,;
1521,carlo castellaneta,anni beati,club degli editori,romanzo,italiano,1979,;
1522,robert bloch,gotico americano,fabbri editore,giallo/thriller,italiano,1994,;
1523,robin cook,l'ombra del faraone,club degli editori,fantasy/avventura/fantascienza,italiano,1981,;
1524,george sand,la mare au diable,garnier-flammarion,letteratura in lingua straniera,francese,1964,;
1525,mario tobino,il perduto amore,mondadori,romanzo,italiano,1979,;
1526,christiane f.,noi ragazzi dello zoo di berlino,club del libro,bambini e ragazzi,italiano,1981,;
1527,ross macdonald,l'uomo sotterraneo,mondadori,giallo/thriller,italiano,1972,;
1528,khaled hosseini,mille splendidi soli,edizioni mondolibri,romanzo,italiano,2007,;
1529,luisa ruggio,la nuca,edizioni controluce,romanzo,italiano,2007,;
1530,isabel allende,la somma dei giorni,feltrinelli,romanzo,italiano,2008,;
1531,vincenzo camerino,il cinema di pa'l gabor,edizioni scenastudio,arte/musica/teatro,italiano,1986,;
1532,victoria donda,il mio nome e' vittoria,corbaccio,romanzo,italiano,2010,;
1533,johnathan black,petrolio,club degli editori,romanzo,italiano,1981,;
1534,constance heaven,l'ora della verita',mondadori,romanzo,italiano,1982,;
1535,ionesco,la cantatrice chauve - suivi de la leçon,gallimard,letteratura in lingua straniera,francese,1954,;
1536,marie gise'le landes-fuss,una baracca rossa a venezia-california,club degli editori,romanzo,italiano,1983,;
1537,alfonso signorini,chanel una vita da favola,mondadori,biografia,italiano,2009,;
1538,stephen king,la zona morta,club del libro,giallo/thriller,italiano,1981,;
1539,ellery queen,colpo di grazia,club degli editori,giallo/thriller,italiano,1977,;
1540,stephen king,una splendida festa di morte,club degli editori,giallo/thriller,italiano,1978,;
1541,mary higgins clarks,incubo,sperling paparback,giallo/thriller,italiano,1989,;
1542,quinto navarra,memorie del commesso di mussolini,longanesi,biografia,italiano,1983,;
1543,konrad lorenz,il declino dell'uomo,milanospa,saggio,italiano,1985,;
1544,virginia woolf,un riflesso dell'altro lettere 1929-1931,einaudi,classico,italiano,1985,;
1545,ken follett,sulle ali delle aquile,mondadori,giallo/thriller,italiano,1983,;
1546,gian franco vene',mille lire al mese vita quotidiana della famiglia nell'italia fascista,mondadori,saggio,italiano,1988,;
1547,woody allen,citarsi addosso,bompiani,umoristico e fumetti,italiano,1978,;
1548,primo levi,se non ora quando?,einaudi,classico,italiano,1982,;
1549,luis borges,carme presunto e altre poesia,einaudi,poesie/aforismi/albi illustrati,italiano,1983,;
1550,indro montanelli paolo granzotto,sommario di storia d'italia dall'unita' ai giorni nostri,rizzoli,saggio storico,italiano,1986,;
1551,catalogo a cura di pontus hulten,futurismo & futurismi,bompiani,belle arti/cultura locale,italiano,1986,;
1552,salman rushdie,i figli della mezzanote,club degli editori,romanzo,italiano,1980,;
1553,jack higgings,a solo,sperling paperback,giallo/thriller,italiano,1990,;
1554,jonas jonasson,il centenario che salto' dalla finestra e scomparve,bompiani,romanzo,italiano,2013,;
1555,jorge luis borges,il libro di sabbia,rizzoli,classico,italiano,1977,;
1556,virginia woolf,le cose che accadono,einaudi,classico,italiano,1980,;
1557,james grady,gli artigli dell'aquila,superbur,giallo/thriller,italiano,1991,;
1558,john grisham,il momento di uccidere,mondadori,giallo/thriller,italiano,1999,;
1559,indro montanelli,l'italia del risorgimento,milanostampa,saggio storico,italiano,1972,;
1560,leonardo sciascia,cronachette,sellerio editore,classico,italiano,1985,;
1561,leonardo sciascia,la sentenza memorabile,sellerio editore,classico,italiano,1982,;
1562,leonardo sciascia,dalle parti degli infedeli,sellerio editore,classico,italiano,1979,;
1563,andre' gide,il viaggio d'urien,sellerio editore,romanzo,italiano,1980,;
1564,friedrich glauser,il te' delle tre vecchie signore,sellerio editore,giallo/thriller,italiano,1988,;
1565,tom clancy,attentato alla corte d'inghilterra,rizzoli,giallo/thriller,italiano,1996,;
1566,roberto ludlum,il dossier matlock,bur,giallo/thriller,italiano,1991,;
1567,john grisham,il momento di uccidere,mondadori,romanzo,italiano,1999,;
1568,nino frassica,il libro di sani gesualdi,longanesi,umoristico e fumetti,italiano,1985,;
1569,francesco morelli,francesco morelli poeta,adriatica editrice salentina,poesie/aforismi/albi illustrati,italiano,1985,;
1570,harold robbins,ricordi di un altro giorno,club degli editori,romanzo,italiano,1980,;
1571,robert ludlum,il manoscritto,bur,giallo/thriller,italiano,1993,;
1572,borges,finzioni -l'aleph,longanesi,classico,italiano,1985,;
1573,giuseppe prezzolini,l'italiano inutile,rusconi libri,arte e cultura del territorio,italiano,1983,;
1574,marguerite yourcenar,memorie di adriano,einaudi,biografia,italiano,1983,;
1575,lawrence durrell,labirinto oscuro,club degli editori,fantasy/avventura/fantascienza,italiano,1968,;
1576,domenico porzio,incontri e scontri con cristo- volume 1,edizioni ferro,filosofia e religioni,italiano,1972,;
